model_name,accuracy,top5_accuracy,log_loss,cross_entropy_loss,uncertainty_rejection_auc,f1_score,recall,c_var_risk,roc_auc,entropy,precision
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr0001_adam,0.6053333333333333,0.9545,1.2071611701791785,1.2071612,0.20145808381829805,0.6049837441629519,0.6053333333333333,1.2705396,0.9232920679012345,0.80163866,0.612033135564567
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lrscheduler_adam,0.6198333333333333,0.9603333333333334,1.089068244027633,1.0890683,0.19062637020886491,0.6184692157630431,0.6198333333333333,1.1459616,0.9316496913580246,0.98273975,0.6330682403070781
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr001_adam,0.624,0.9603333333333334,1.0763118702272696,1.0763118,0.18252503052563962,0.6243335446014215,0.6239999999999999,1.1320897,0.9291411728395061,1.0251493,0.6307445509615733
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr0001_adam,0.6201666666666666,0.963,1.0744709276074833,1.074471,0.1885509721804103,0.61679999410497,0.6201666666666668,1.1302193,0.9317361419753085,1.0019441,0.6183269855381063
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lrscheduler_adam,0.6271666666666667,0.9565,1.0754977204598204,1.0754977,0.1793692020766688,0.6274741025938939,0.6271666666666668,1.1316773,0.9308932098765432,0.94992626,0.6318541263342754
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr001_sgd,0.5863333333333334,0.9516666666666667,1.1993379760390244,1.199338,0.22081256308576597,0.5848828086238342,0.5863333333333333,1.2619185,0.916012962962963,1.0171969,0.5866378428353549
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr0001_sgd,0.5445,0.9371666666666667,1.306791579236736,1.3067915,0.26601143282225365,0.5422932051631326,0.5445,1.3743577,0.8987537345679012,1.1707526,0.5439730019749571
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lrscheduler_sgd,0.5796666666666667,0.9486666666666667,1.2836249873522998,1.283625,0.22487042727075007,0.5768787968216932,0.5796666666666667,1.350991,0.9122269444444443,0.86261946,0.5834174287452946
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr001_sgd,0.592,0.9565,1.1508770138617748,1.150877,0.2176148414229483,0.5919741183897216,0.592,1.2092421,0.9219795370370372,1.1677083,0.5992982927796036
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr0001_sgd,0.5493333333333333,0.9456666666666667,1.2562552411697858,1.2562551,0.2585193729805573,0.5451952967100003,0.5493333333333332,1.3191127,0.9055407716049382,1.2844211,0.5531133483203303
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lrscheduler_sgd,0.5946666666666667,0.9546666666666667,1.1405143445931063,1.1405144,0.2136993549894008,0.5896959500395432,0.5946666666666667,1.1986126,0.9213217283950617,1.1413525,0.5893057522526288
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lr001_adam,0.6738333333333333,0.9686666666666667,1.1112893792694427,1.1112893,0.13884878294629127,0.6731657239641159,0.6738333333333333,1.1697764,0.9443438425925926,0.51883465,0.6762355172161832
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lr0001_adam,0.6573333333333333,0.966,1.0479889966133504,1.0479889,0.14183788230899294,0.654648339586681,0.6573333333333334,1.1031208,0.9429943827160494,0.63870966,0.6591935579494578
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lrscheduler_adam,0.6616666666666666,0.964,1.1423723909471435,1.1425726,0.14212441274910131,0.6549776863540792,0.6616666666666665,1.2027066,0.94308649691358,0.5164742,0.6597873361613937
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lr001_adam,0.6825,0.9705,0.9817445114661517,0.98174447,0.1291304518640969,0.683326546606899,0.6825,1.033397,0.9472729320987655,0.6573192,0.6864520733299058
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lr0001_adam,0.672,0.9695,1.0042610562212733,1.004261,0.13581201346202118,0.6677987033431658,0.672,1.0570761,0.944993364197531,0.6441836,0.6732981131108356
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lrscheduler_adam,0.6911666666666667,0.9668333333333333,1.0110713595593597,1.0110713,0.12275694687936935,0.6910214617636283,0.6911666666666666,1.0642687,0.9501198456790124,0.5341944,0.6950945498652003
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lr001_sgd,0.6203333333333333,0.9593333333333334,1.2293469170142524,1.2293469,0.1850281853641832,0.6185994008863346,0.6203333333333333,1.2940238,0.9284016049382716,0.6440011,0.6210161432045109
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lr0001_sgd,0.5893333333333334,0.9495,1.1888254812136745,1.1888255,0.21820369618803814,0.5851249021765291,0.5893333333333334,1.2508295,0.9166353395061726,1.0797693,0.584802582948022
