model_name,margin,inv_margin,l1_inf_norm,frobenius_norm,spectral_norm,trace_norm,l1_inf_norm_margin,frobenius_norm_margin,spectral_norm_margin,trace_norm_margin,l1_inf_norm_squared_margin,frobenius_norm_squared_margin,spectral_norm_squared_margin,trace_norm_squared_margin,mu_fro_spec,mu_spec_init_main,mu_spec_origin_main,mu_sum_of_fro,mu_sum_of_fro_margin,log_product_spectral_norms,log_product_frobenius_norms,frobenius_distance,spectral_distance,mu_path_norm,mu_path_norm_margin,l1_max_bound,frobenius_bound,spec_l2_1_bound,spec_fro_bound,flatness
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr0001_adam,1.1209856033325198,0.892072116740083,39919221.384381734,337769.28421534214,1187.2676463459857,4441845798.714732,35610824.3189814,301314.56033976295,1059.1283624128796,3962446783.8924956,31767423.429092962,268794.31764689984,944.8188801571154,3534788289.976913,15.690037000073316,15531.533981782131,14824.243188032975,63.78139813129394,60.93320486299384,7.079409850528702,12.730118350314928,79.03237056732178,19.04102474451065,37.494711541158544,29.83801628820597,980457.5510239172,8295.964543598146,393688.310084583,15118.933709294313,0.0007113117232455576
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lrscheduler_adam,0.6662132263183594,1.501020935183499,100455677.46970122,523913.5632903949,3484.2931898657394,4944481845.267354,150786074.94006288,786405.2267254678,5229.997022305769,7421770763.381037,226333055.21918234,1180410.7088526534,7850.335021428321,11140233291.967756,18.651616067716823,116034.48019692779,146421.43482263255,69.63409452511732,81.91748918962334,8.156020487665273,13.169081994143834,97.80413627624512,22.892276644706726,67.12381429353147,151.23423931516675,2467295.806448936,12867.861431107176,1376247.5413578574,54395.451449690016,0.0002219457052313947
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr001_sgd,3.7297683238983153,0.26811316767117865,50442793.34481629,784560.2817672542,606.7677258035759,15209093034.99076,13524377.109861344,210350.942373611,162.6824170058339,4077758111.0170336,3626063.5877045053,56397.85748240641,43.61729814783775,1093300644.1416187,16.08396791587454,1043.67973127379,701.5392239869564,75.49101558315385,44.588465397683386,6.408146058524563,13.572878689206616,70.3784384727478,18.565255641937256,82.59823105513519,5.937546638039381,1238927.4117709626,19269.61563416451,207362.1522925736,8085.15074190422,0.0001465745289253525
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr0001_sgd,-0.01111547946929924,-89.96463020439043,62035736.81374948,819149.6719005723,373.1990927752134,17006877127.044508,-5581022121.905861,-73694497.31458274,-33574.718374136064,-1530017411666.065,502094591359.7832,6629898199.004879,3020537.122745704,137647450646816.12,18.496072290383403,85382852.21473946,55868072.978091225,76.1452219076275,460.5442626351874,5.9221120380356504,13.616022095711886,71.80671083927155,14.597536504268646,83.53260322042675,676082.3749881423,1523662.1477835244,20119.16699226771,150927.53685818377,6503.2728943209895,0.00014331378560355644
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lrscheduler_sgd,0.739074194431305,1.3530441294455822,38396710.46099202,547781.1440620282,379.2206219312676,11279459079.080475,51952443.679267034,741172.061194112,513.1022362688043,15261605890.27151,70293948.9305845,1002838.5063077749,694.2499685889056,20649626255.743984,15.730825341816622,17166.200692687788,10921.124999433752,70.25729422697894,79.28959592442877,5.938118151632316,13.213631114010273,62.56847548484802,14.985982477664948,57.606906392050774,105.46260050286499,943063.1009423363,13454.074011931129,126881.71548352217,4787.518052342201,0.00030133591273735717
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr001_sgd,1.4505008220672608,0.689417051535893,24862880.23395114,355058.90780251694,590.8618505743656,6276627179.909706,17140893.58358063,244783.6653387657,407.3502348880205,4327213803.963397,11817224.315082667,168758.03282200068,280.83419787895264,2983254982.093861,13.71264160841948,5494.76216649268,3850.9787069020354,64.42138935878454,55.51660439723854,6.381582234707729,12.780038992163332,62.950238943099976,16.16934162378311,37.18963852832113,17.67608163457621,610658.1696785827,8720.615661844633,166816.7116754416,6210.479188244601,0.000723029614117365
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr0001_sgd,-0.10375062227249143,-9.63849640702484,36762455.23822755,523864.49119756685,392.2096376589308,10554005259.017029,-354334792.72706777,-5049266.016175644,-3780.3111833761186,-101724741768.7569,3415254626.583734,48667332.35502157,36436.51575840654,980473558043.693,14.99030228748963,892156.1085144092,546194.3855213935,69.6327900279555,172.35247037212528,5.971796486787534,13.168988325274452,68.99772882461548,15.494797825813293,52.129407225252905,4842.8538859391,902924.0947720755,12866.65616952418,124303.6768277388,5388.4727850589325,0.00036798865272490394
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lrscheduler_sgd,1.6779291391372682,0.5959727241605475,26326558.827014543,386290.33747229975,727.8055857116444,6613269497.336784,15689910.981908765,230218.50474026368,433.75227757583156,3941328237.935658,9350758.989724657,137203.94942222285,258.5045264777103,2348924126.7734046,13.547037249534505,4967.558136607792,3501.9704493668196,65.51681449206527,53.26517115766438,6.590033959937897,12.864344535326527,65.8267502784729,16.84081196784973,41.04294625754832,14.577776807227231,646607.6366038707,9487.692022231546,203535.50477761158,7672.727791683352,0.0005936397070759071
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr001_adam,-0.805749726295471,-1.241080160954714,45780481388.10149,64668557.73759357,20746.028480005545,49649245043859.08,-56817247209.72929,-80258864.04568185,-25747.484365136363,-61618693030312.664,70514758312.0546,99607683.90785733,31954.692040062422,76473737463879.55,32.416499689020775,764593.7181814628,1035859.264579438,66.38918033009509,69.65330273613766,9.940110108785854,17.984785671296763,101.43642330169678,29.505979180336,53.404750564088395,82.25826737857338,1285469793.0244164,1815827.94696732,12080937.786317226,908147.6489180359,0.0003506228520498254
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr0001_adam,-0.8644846200942993,-1.1567585781814353,18936490530.161423,132027583.30897498,8243.74908370318,259777642640602.0,-21904947861.415745,-152724039.54922092,-9536.027468949002,-300500016544267.8,25338736343.30975,176664842.8430821,11030.881576480559,347605971881245.06,24.620214824075397,318006.71296924265,271582.6741118869,71.86850061487183,74.23223285647754,9.017210505315132,18.698521423182545,73.45570778846741,20.129775524139404,52.00030282739347,69.58110643664001,531717575.3582633,3707201.5200305902,3836466.156135678,289149.0209879446,0.00036981817784552563
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lrscheduler_adam,-1.4134994626045227,-0.7074640114523948,10754854732.838058,13144967.284967432,4780.220370868081,6631414848038.32,-7608672671.881387,-9299591.285833554,-3381.833879200787,-4691487349998.163,5382862090.277417,6579126.155943541,2392.525762245002,3319058460307.8657,35.14185379095607,54313.90472879234,84077.7905279096,55.618053854003854,51.50112968453472,8.472241927114872,16.39154952736154,84.67966055870056,25.353204369544983,11.535524645954421,5.773591540811363,301985485.26014805,369097.437658476,2973173.373976732,232525.91468151475,0.007514936187944958
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr001_adam,-1.3207989811897278,-0.7571174828581684,5283085902.950527,20578450.340441093,8130.8053998328405,21040945496492.395,-3999916700.5653768,-15580304.522876577,-6155.974917931044,-15930467691260.236,3028406863.974408,11796120.942524051,4660.796234401972,12061235599160.326,44.11923250604703,104020.18145748347,205630.75272888903,58.4579951494242,54.95298795748102,9.003415262805317,16.83975498623675,92.58656740188599,26.40412050485611,9.096987433149874,5.214637749625475,148343729.3859714,577822.1525378121,5882521.099760815,590254.5540847623,0.01208383566639903
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr0001_adam,-1.2982296109199523,-0.7702797652962017,4279315596.542783,28340681.686654236,6518.863031906653,37620070667663.484,-3296270213.3333497,-21830253.637930386,-5021.348286215142,-28977979204314.348,2539050246.279273,16815402.64858157,3867.842979376284,22321151020257.47,24.04651885307348,92662.43571038329,93008.15912429971,60.57425723060212,57.160875616219116,8.782455258105049,17.159808845806758,68.37555932998657,18.73791241645813,10.83775141687268,6.430372984492033,120158870.49199358,795777.7882034867,2875964.2345162155,198175.11631556493,0.00851376442363435
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lrscheduler_adam,-1.416727328300476,-0.7058521283694108,11046045963.176964,25061097.55161686,12111.95791777853,23438011031459.24,-7796875053.174798,-17689429.04608219,-8549.251274984714,-16543769971301.232,5503440850.9137945,12486121.14181679,6034.507208412859,11677455245496.922,44.40345838080982,133121.9421238594,267952.98967745726,59.752162870618314,55.30118770953319,9.401948501247361,17.036827303425127,96.37435913085938,26.46684020757675,10.485761161393533,5.224291707721725,310161841.62960213,703690.3699097954,8799877.660918642,900768.3705536522,0.00909494500303299
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr001_sgd,-1.1747151613235474,-0.8512701912123988,44270959282.264656,309425796.5469775,3687.7405713397848,1148762736961160.5,-37686547973.36975,-263404956.99259433,-3139.263621306139,-977907474750605.6,32081434899.42571,224228788.10537946,2672.361543175404,832463483018982.0,24.395221142039176,97916.51647409193,65192.85081724507,79.00192580200533,76.2249426127416,8.212769238205425,19.550228868668302,66.67196369171143,15.73239403963089,115.22155119323381,83.49655741698412,1243083933.1531358,8688364.617044788,1711663.957414897,131620.65969671498,7.5323859494521e-05
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr0001_sgd,-1.1844912528991698,-0.8442443095737452,168759778201.06674,782032611.3069248,8854.182259326839,2831586370087539.5,-142474482431.17798,-660226581.9969678,-7475.092988365491,-2390550680012982.0,120283271051.98654,557392534.8802638,6310.8047189621675,2018208808348607.2,24.204657053093754,232429.44463712146,152750.86395152498,87.57468934626536,84.34089252181857,9.088645198050497,20.477407000078585,74.55869126319885,16.34826385974884,278.8673519793954,198.76227406344933,4738604544.498173,21958687.818785854,4111284.9944589077,327082.85949537525,1.2858924736713518e-05
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lrscheduler_sgd,-0.825869607925415,-1.2108448965836154,51851752071.94441,392906665.9331335,4773.898221960305,1441011456092228.5,-62784429375.23279,-475749031.2788181,-5780.450298870231,-1744841367527799.2,76022205893.91504,576058286.5785556,6999.228744342252,2112732265219012.0,25.616567624092482,256805.33410668993,179296.21644593522,81.12665200279586,84.65013755006883,8.470918487434044,19.789082650363728,69.94908928871155,17.401180028915405,145.88477366572565,213.8882845272986,1455944956.9527533,11032423.3214867,2341159.098025736,179469.15620500967,4.6987254340172305e-05
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr001_sgd,-1.4483892917633057,-0.6904221162685998,9610432487.914207,40888547.9623394,3125.1015497577237,112152746119133.84,-6635255136.562232,-28230357.815308515,-2157.6392255380088,-77432736320907.39,4581126893.3673935,19490863.38586511,1489.6818402400947,53461273679149.35,17.686070385241354,42585.10830821133,26346.61787810218,63.092252153174954,58.10636934032622,8.047222057564992,17.526360580884656,47.92969107627869,13.749854028224945,14.981790807047494,7.141560472255653,269851261.641059,1148109.2311073458,944228.8320876987,61872.73983046769,0.004455254758028667
