model_name,PAC_Bayes_Sigma,PAC_Bayes_Bound,PAC_Bayes_Flatness,PAC_Bayes_MAG_Sigma,PAC_Bayes_MAG_Bound,PAC_Bayes_MAG_Flatness,Sharpness_Sigma,Sharpness_Bound,Sharpness_Flatness,Sharpness_MAG_Sigma,Sharpness_MAG_Bound,Sharpness_MAG_Flatness
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lrscheduler_adam,0.078125,4120291049472.0,163.84,0.0595703125,21.04098908575758,281.7995162590701,0.34375,36.9017247332564,8.462809917355372,0.1875,67.65316201097006,28.444444444444443
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lr001_sgd,0.00732421875,4909227835392.0,18641.35111111111,0.078125,20.63489569101995,163.84,0.00048828125,25978.814212212506,4194304.0,0.000244140625,51957.62842442501,16777216.0
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lr0001_sgd,0.003662109375,49533912350720.0,74565.40444444444,0.046875,21.400161503193836,455.1111111111111,0.000171661376953125,73895.29375918224,33935544.067160495,0.000164031982421875,77332.28416658606,37165752.696592756
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lrscheduler_sgd,0.00732421875,1375946014720.0,18641.35111111111,0.072265625,20.751618848242835,191.48575602629657,0.03125,405.9189720658204,1024.0,0.01953125,649.4703553053128,2621.44
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lr001_sgd,0.009765625,6459281637376.0,10485.76,0.0625,20.96906433732012,256.0,3.814697265625e-06,3325288.219163201,68719476736.0,3.814697265625e-06,3325288.219163201,68719476736.0
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lr0001_sgd,0.00518798828125,280364073353216.0,37153.696332179934,0.04827880859375,21.355932471035096,429.029259319046,3.814697265625e-06,3325288.219163201,68719476736.0,3.814697265625e-06,3325288.219163201,68719476736.0
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lrscheduler_sgd,0.009765625,11045753061376.0,10485.76,0.06201171875,20.980814003199725,260.0473680947362,0.0625,202.9594860329102,256.0,0.0390625,324.7351776526564,655.36
vgg_cifar_0.01_adam,0.1171875,2353558978560.0,72.81777777777778,0.125,19.520338400427775,64.0,0.12109375,118.3594905367182,68.19562955254943,0.109375,131.04086452279515,83.59183673469387
vgg_cifar_0.01_sgd,0.01251220703125,25882871726080.0,6387.518286734087,0.125,19.520338400427775,64.0,0.00189208984375,7575.007394349965,279329.2986472425,0.0018310546875,7827.507640828297,298261.6177777778
vgg_cifar_0.001_adam,0.048828125,1138018222080.0,419.4304,0.1484375,19.264135650214982,45.38504155124654,0.296875,48.278213245240316,11.346260387811634,0.375,38.22025215248192,7.111111111111111
vgg_cifar_0.001_sgd,0.006103515625,172616446902272.0,26843.5456,0.068359375,20.42293042913397,213.99510204081633,0.000244140625,58706.30730621223,16777216.0,0.000244140625,58706.30730621223,16777216.0
vgg_cifar_scheduler_adam,0.1025390625,24403708477440.0,95.10893424036281,0.125,19.520338400427775,64.0,0.25,57.33037822872288,16.0,0.1796875,79.76400449213618,30.97164461247637
vgg_cifar_scheduler_sgd,0.01220703125,14901447753728.0,6710.8864,0.115234375,19.64177865391066,75.30709566216605,0.09375,152.88100860992768,113.77777777777777,0.03125,458.643025829783,1024.0
